customer_name,customer_ip,description,enabled
SOPHOS_VPN,103.141.177.4,,1
T0-DELL,103.141.177.5,,1
,103.141.177.6,,0
,103.141.177.7,,0
ORG-CA,103.141.177.8,,1
,103.141.177.9,,0
T0-HPEG10,103.141.177.10,,1
T0-DELL,103.141.177.11,,1
ORG-DATX,103.141.177.12,,1
ORG-ECARAID,103.141.177.13,,1
ORG-ECARAID,103.141.177.14,,1
ORG-ECARAID,103.141.177.15,,1
ORG-ECARAID,103.141.177.16,,1
ORG-LUAN,103.141.177.17,,1
ORG-TPCOMS,103.141.177.18,,1
FFTECH,103.141.177.19,,1
ORG-ECARAID,103.141.177.20,,1
ORG-ACEFOODS,103.141.177.21,,1
ORG-ILOTUSLAND,103.141.177.22,,1
ORG-ILOTUSLAND,103.141.177.23,,1
ORG-ACEFOODS,103.141.177.24,,1
ORG-ECARAID,103.141.177.25,,1
ORG-ECARAID,103.141.177.26,,1
ORG-DATX,103.141.177.27,,1
,103.141.177.28,,0
ORG-TVQ,103.141.177.29,,1
